"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"place-rbmnl","","Revere Beach Station","","42.40784254","-70.99253321","","",1,""
"place-rcmnl","","Roxbury Crossing Station","","42.331397","-71.095451","","",1,""
"place-river","","Riverside Station","","42.337059","-71.251742","","",1,""
"place-rsmnl","","Reservoir Station","","42.335027","-71.148952","","",1,""
"place-rugg","","Ruggles Station","","42.336377","-71.088961","","",1,""
"place-rvrwy","","Riverway Station","","42.331684","-71.111931","","",1,""
"place-sbmnl","","Stony Brook Station","","42.317062","-71.104248","","",1,""
"place-sdmnl","","Suffolk Downs Station","","42.39050067","-70.99712259","","",1,""
"place-shmnl","","Savin Hill Station","","42.31129","-71.053331","","",1,""
"place-smary","","Saint Mary St. Station","","42.345974","-71.107353","","",1,""
"place-smmnl","","Shawmut Station","","42.29312583","-71.06573796","","",1,""
"place-sougr","","South St. Station","","42.3396","-71.157661","","",1,""
"place-spmnl","","Science Park Station","","42.366664","-71.067666","","",1,""
"place-sstat","","South Station","","42.352271","-71.055242","","",1,""
"place-state","","State St. Station","","42.358978","-71.057598","","",1,""
"place-sthld","","Sutherland Rd. Station","","42.341614","-71.146202","","",1,""
"place-stplb","","Saint Paul St. Station","","42.3512","-71.116104","","",1,""
"place-stpul","","Saint Paul St. Station","","42.343327","-71.116997","","",1,""
"place-sull","","Sullivan Station","","42.383975","-71.076994","","",1,""
"place-sumav","","Summit Ave. Station","","42.34111","-71.12561","","",1,""
"place-symcl","","Symphony Station","","42.342687","-71.085056","","",1,""
"place-tapst","","Tappan St. Station","","42.338459","-71.138702","","",1,""
"place-tumnl","","Tufts Medical Center Station","","42.349662","-71.063917","","",1,""
"place-valrd","","Valley Rd. Station","","42.268322","-71.081566","","",1,""
"place-waban","","Waban Station","","42.325943","-71.230728","","",1,""
"place-wascm","","Washington St. Station","","42.343864","-71.142853","","",1,""
"place-welln","","Wellington Station","","42.40237","-71.077082","","",1,""
"place-wimnl","","Wood Island Station","","42.3796403","-71.02286539","","",1,""
"place-wlsta","","Wollaston Station","","42.2665139","-71.0203369","","",1,""
"place-wondl","","Wonderland Station","","42.41342","-70.991648","","",1,""
"place-woodl","","Woodland Station","","42.333374","-71.244301","","",1,""
"place-wrnst","","Warren St. Station","","42.348343","-71.140457","","",1,""
"place-wtcst","","World Trade Center Station","","42.34863","-71.04246","","",1,""
"1","1","Washington St opp Ruggles St",,"42.330956","-71.082756",,,,
"10","10","Theo Glynn Way @ Newmarket Sq",,"42.330868","-71.06842",,,,
"100","100","Massachusetts Ave @ Front St",,"42.361771","-71.097511",,,,
"10000","10000","Tremont St opp Winter St",,"42.35639457","-71.0624242",,,,"place-pktrm"
"10003","10003","Albany St opp Randall St",,"42.331593","-71.076233",,,,
"10004","10004","Albany St opp Northampton St",,"42.33263","-71.074516",,,,
"10005","10005","Albany St opp E Concord St",,"42.335018","-71.071281",,,,
"10006","10006","Albany St opp E Newton St",,"42.335815","-71.070137",,,,
"10007","10007","540 Albany St opp Wareham St",,"42.338371","-71.066559",,,,
"10008","10008","Albany St opp Randolph St",,"42.340412","-71.063774",,,,
"10009","10009","High St @ Duck Lane",,"42.214985","-70.915924",,,,
"1001","1001","Newton St @ Arlington Rd",,"42.307663","-71.169525",,,,
"10010","10010","Southampton St @ Newmarket St",,"42.330944","-71.064621",,,,
"10011","10011","Albany St @ Randolph St",,"42.340473","-71.063873",,,,
"10012","10012","Albany St @ Wareham St",,"42.33836","-71.066666",,,,
"10013","10013","Albany St @  E Dedham St",,"42.337555","-71.067871",,,,
"10014","10014","Albany St opp Boston Medical",,"42.334339","-71.07222",,,,
"10015","10015","Harrison Ave @ E Newton St",,"42.337402","-71.072159",,,,
"10016","10016","TradeCenter 128",,"42.499161","-71.161682",,,,
"1003","1003","Firehouse @ Long Island",,"42.324333","-70.963387",,,,
"10031","10031","E 1st St @ P St",,"42.338306","-71.02713",,,,
"10032","10032","E 1st St opp O St",,"42.338276","-71.029205",,,,
"10033","10033","E 1st St @ O St",,"42.338177","-71.029442",,,,
"10099","10099","Albany St @ Northampton St",,"42.33279","-71.074516",,,,
"101","101","Massachusetts Ave @ Sidney St",,"42.362988","-71.099487",,,,
"10100","10100","Albany St @ Melnea Cass Blvd",,"42.331299","-71.076889",,,,
"10101","10101","Melnea Cass Blvd @ Harrison Ave",,"42.332066","-71.079147",,,,
"10134","10134","Massachusetts Ave @ NStar",,"42.32478","-71.065216",,,,
